% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.281	1	1	1	0.55466	0
0.281	3	2	1	2.24265	0
0.281	2	3	1	1.41861	0
0.321	1	1	1	0.555152	0
0.321	3	2	1	2.24977	0
0.321	2	3	1	1.41949	0
0.361	1	1	1	0.555647	0
0.361	3	2	1	2.25693	0
0.361	2	3	1	1.42036	0
0.401	1	1	1	0.556145	0
0.401	3	2	1	2.26413	0
0.401	2	3	1	1.42124	0
0.441	1	1	1	0.556645	0
0.441	3	2	1	2.27137	0
0.441	2	3	1	1.42212	0
0.481	1	1	1	0.557148	0
0.481	3	2	1	2.27865	0
0.481	2	3	1	1.423	0
0.521	1	1	1	0.557654	0
0.521	3	2	1	2.28598	0
0.521	2	3	1	1.42388	0
0.561	1	1	1	0.558162	0
0.561	3	2	1	2.29334	0
0.561	2	3	1	1.42476	0
0.601	1	1	1	0.558673	0
0.601	3	2	1	2.30075	0
0.601	2	3	1	1.42564	0
0.641	1	1	1	0.559187	0
0.641	3	2	1	2.3082	0
0.641	2	3	1	1.42653	0
0.681	1	1	1	0.559704	0
0.681	3	2	1	2.31569	0
0.681	2	3	1	1.42742	0
0.721	1	1	1	0.560224	0
0.721	3	2	1	2.32323	0
0.721	2	3	1	1.42831	0
0.761	1	1	1	0.560746	0
0.761	3	2	1	2.33081	0
0.761	2	3	1	1.4292	0
0.801	1	1	1	0.561271	0
0.801	3	2	1	2.33843	0
0.801	2	3	1	1.43009	0
0.841	1	1	1	0.561799	0
0.841	3	2	1	2.3461	0
0.841	2	3	1	1.43099	0
0.881	1	1	1	0.56233	0
0.881	3	2	1	2.35381	0
0.881	2	3	1	1.43188	0
0.921	1	1	1	0.562864	0
0.921	3	2	1	2.36156	0
0.921	2	3	1	1.43278	0
0.961	1	1	1	0.5634	0
0.961	3	2	1	2.36936	0
0.961	2	3	1	1.43368	0
1.001	1	1	1	0.56394	0
1.001	3	2	1	2.37721	0
1.001	2	3	1	1.43458	0
1.041	1	1	1	0.564483	0
1.041	3	2	1	2.3851	0
1.041	2	3	1	1.43548	0
1.081	1	1	1	0.565028	0
1.081	3	2	1	2.39303	0
1.081	2	3	1	1.43639	0
1.121	1	1	1	0.565577	0
1.121	3	2	1	2.40102	0
1.121	2	3	1	1.4373	0
1.161	1	1	1	0.566129	0
1.161	3	2	1	2.40904	0
1.161	2	3	1	1.4382	0
1.201	1	1	1	0.566684	0
1.201	3	2	1	2.41712	0
1.201	2	3	1	1.43911	0
1.241	1	1	1	0.567242	0
1.241	3	2	1	2.42524	0
1.241	2	3	1	1.44002	0
1.281	1	1	1	0.567803	0
1.281	3	2	1	2.43341	0
1.281	2	3	1	1.44094	0
1.321	1	1	1	0.568367	0
1.321	3	2	1	2.44163	0
1.321	2	3	1	1.44185	0
1.361	1	1	1	0.568934	0
1.361	3	2	1	2.44989	0
1.361	2	3	1	1.44277	0
1.401	1	1	1	0.569504	0
1.401	3	2	1	2.4582	0
1.401	2	3	1	1.44369	0
1.441	1	1	1	0.570078	0
1.441	3	2	1	2.46656	0
1.441	2	3	1	1.4446	0
1.481	1	1	1	0.570655	0
1.481	3	2	1	2.47497	0
1.481	2	3	1	1.44553	0
1.521	1	1	1	0.571235	0
1.521	3	2	1	2.48343	0
1.521	2	3	1	1.44645	0
1.561	1	1	1	0.571819	0
1.561	3	2	1	2.49194	0
1.561	2	3	1	1.44737	0
1.601	1	1	1	0.572406	0
1.601	3	2	1	2.50049	0
1.601	2	3	1	1.4483	0
1.641	1	1	1	0.572996	0
1.641	3	2	1	2.5091	0
1.641	2	3	1	1.44923	0
1.681	1	1	1	0.573589	0
1.681	3	2	1	2.51776	0
1.681	2	3	1	1.45015	0
1.721	1	1	1	0.574186	0
1.721	3	2	1	2.52647	0
1.721	2	3	1	1.45109	0
1.761	1	1	1	0.574787	0
1.761	3	2	1	2.53523	0
1.761	2	3	1	1.45202	0
1.801	1	1	1	0.57539	0
1.801	3	2	1	2.54404	0
1.801	2	3	1	1.45295	0
1.841	1	1	1	0.575998	0
1.841	3	2	1	2.5529	0
1.841	2	3	1	1.45389	0
1.881	1	1	1	0.576608	0
1.881	3	2	1	2.56182	0
1.881	2	3	1	1.45482	0
1.921	1	1	1	0.577223	0
1.921	3	2	1	2.57078	0
1.921	2	3	1	1.45576	0
1.961	1	1	1	0.577841	0
1.961	3	2	1	2.5798	0
1.961	2	3	1	1.4567	0
2.001	1	1	1	0.578462	0
2.001	3	2	1	2.58887	0
2.001	2	3	1	1.45764	0
2.041	1	1	1	0.579087	0
2.041	3	2	1	2.598	0
2.041	2	3	1	1.45859	0
2.081	1	1	1	0.579716	0
2.081	3	2	1	2.60718	0
2.081	2	3	1	1.45953	0
2.121	1	1	1	0.580348	0
2.121	3	2	1	2.61641	0
2.121	2	3	1	1.46048	0
2.161	1	1	1	0.580984	0
2.161	3	2	1	2.6257	0
2.161	2	3	1	1.46143	0
2.201	1	1	1	0.581624	0
2.201	3	2	1	2.63504	0
2.201	2	3	1	1.46238	0
2.241	1	1	1	0.582268	0
2.241	3	2	1	2.64444	0
2.241	2	3	1	1.46333	0
2.281	1	1	1	0.582915	0
2.281	3	2	1	2.65389	0
2.281	2	3	1	1.46428	0
2.321	1	1	1	0.583567	0
2.321	3	2	1	2.6634	0
2.321	2	3	1	1.46523	0
2.361	1	1	1	0.584222	0
2.361	3	2	1	2.67296	0
2.361	2	3	1	1.46619	0
2.401	1	1	1	0.584881	0
2.401	3	2	1	2.68259	0
2.401	2	3	1	1.46714	0
2.441	1	1	1	0.585544	0
2.441	3	2	1	2.69226	0
2.441	2	3	1	1.4681	0
2.481	1	1	1	0.586211	0
2.481	3	2	1	2.702	0
2.481	2	3	1	1.46906	0
2.521	1	1	1	0.586882	0
2.521	3	2	1	2.71179	0
2.521	2	3	1	1.47002	0
2.561	1	1	1	0.587557	0
2.561	3	2	1	2.72164	0
2.561	2	3	1	1.47099	0
2.601	1	1	1	0.588236	0
2.601	3	2	1	2.73155	0
2.601	2	3	1	1.47195	0
2.641	1	1	1	0.588919	0
2.641	3	2	1	2.74152	0
2.641	2	3	1	1.47292	0
2.681	1	1	1	0.589606	0
2.681	3	2	1	2.75154	0
2.681	2	3	1	1.47388	0
2.721	1	1	1	0.590298	0
2.721	3	2	1	2.76163	0
2.721	2	3	1	1.47485	0
2.761	1	1	1	0.590993	0
2.761	3	2	1	2.77177	0
