0	0	50	3	0	0	1.75	1
0	100	100	3	0	0	1.75	0
3.0001	100	100	3	27.601	0	1.75	0
3.0001	0	50	3	27.601	0	1.75	1
6.0001	100	100	3	57.601	0	1.75	0
6.0001	0	50	3	57.601	0	1.75	1
9.0001	100	100	3	87.601	0	1.75	0
9.0001	0	50	3	87.601	0	1.75	1
12.0002	0	50	3	97.6	20.002	1.75	0
12.0002	100	100	3	97.6	20.002	1.75	0
15.0002	100	100	3	97.6	50.002	1.75	0
15.0002	0	50	3	97.6	50.002	1.75	1
18.0002	0	50	3	97.602	80	1.75	0
18.0002	100	100	3	97.602	80	1.75	0
21.0002	0	50	3	127.602	80	1.75	0
21.0002	100	100	3	127.602	80	1.75	0
24.0003	0	50	3	157.603	80	1.75	0
24.0003	100	100	3	157.603	80	1.75	1
27.0003	0	50	3	187.6	79.997	1.75	0
27.0003	100	100	3	187.6	79.997	1.75	0
30.0003	100	100	3	187.6	49.997	1.75	0
30.0003	0	50	3	187.6	49.997	1.75	1
33.0003	100	100	3	187.6	19.997	1.75	0
33.0003	0	50	3	187.6	19.997	1.75	0
36.0004	0	50	3	187.6	-10.004	1.75	0
36.0004	100	100	3	187.6	-10.004	1.75	0
