% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.0512143	1	1	2	3.36779e-11	70999.2	0
0.0512143	1	2	1	3.36092e-11	70854.5	0
0.0522143	1	1	2	3.36792e-11	71002	0
0.0522143	1	2	1	3.36092e-11	70854.5	0
0.0532143	1	1	2	3.36806e-11	71004.9	0
0.0532143	1	2	1	3.36092e-11	70854.5	0
0.0542143	1	1	2	3.36819e-11	71007.7	0
0.0542143	1	2	1	3.36092e-11	70854.5	0
0.0552143	1	1	2	3.36833e-11	71010.6	0
0.0552143	1	2	1	3.36092e-11	70854.5	0
0.0562143	1	1	2	3.36846e-11	71013.4	0
0.0562143	1	2	1	3.36092e-11	70854.5	0
0.0572143	1	1	2	3.3686e-11	71016.2	0
0.0572143	1	2	1	3.36092e-11	70854.5	0
0.0582143	1	1	2	3.36873e-11	71019.1	0
0.0582143	1	2	1	3.36092e-11	70854.5	0
0.0592143	1	1	2	3.36887e-11	71021.9	0
0.0592143	1	2	1	3.36092e-11	70854.5	0
0.0602143	1	1	2	3.369e-11	71024.8	0
0.0602143	1	2	1	3.36092e-11	70854.5	0
0.0612143	1	1	2	3.36913e-11	71027.6	0
0.0612143	1	2	1	3.36092e-11	70854.5	0
0.0622143	1	1	2	3.36927e-11	71030.4	0
0.0622143	1	2	1	3.36092e-11	70854.5	0
0.0632143	1	1	2	3.3694e-11	71033.3	0
0.0632143	1	2	1	3.36092e-11	70854.5	0
0.0642143	1	1	2	3.36954e-11	71036.1	0
0.0642143	1	2	1	3.36092e-11	70854.5	0
0.0652143	1	1	2	3.36967e-11	71039	0
0.0652143	1	2	1	3.36092e-11	70854.5	0
0.0662143	1	1	2	3.36981e-11	71041.8	0
0.0662143	1	2	1	3.36092e-11	70854.5	0
0.0672143	1	1	2	3.36994e-11	71044.6	0
0.0672143	1	2	1	3.36092e-11	70854.5	0
0.0682143	1	1	2	3.37008e-11	71047.5	0
0.0682143	1	2	1	3.36092e-11	70854.5	0
0.0692143	1	1	2	3.37021e-11	71050.3	0
0.0692143	1	2	1	3.36092e-11	70854.5	0
0.0702143	1	1	2	3.37035e-11	71053.2	0
0.0702143	1	2	1	3.36092e-11	70854.5	0
0.0712143	1	1	2	3.37048e-11	71056	0
0.0712143	1	2	1	3.36092e-11	70854.5	0
0.0722143	1	1	2	3.37062e-11	71058.9	0
0.0722143	1	2	1	3.36092e-11	70854.5	0
0.0732143	1	1	2	3.37075e-11	71061.7	0
0.0732143	1	2	1	3.36092e-11	70854.5	0
0.0742143	1	1	2	3.37089e-11	71064.5	0
0.0742143	1	2	1	3.36092e-11	70854.5	0
0.0752143	1	1	2	3.37102e-11	71067.4	0
0.0752143	1	2	1	3.36092e-11	70854.5	0
0.0762143	1	1	2	3.37116e-11	71070.2	0
0.0762143	1	2	1	3.36092e-11	70854.5	0
0.0772143	1	1	2	3.37129e-11	71073.1	0
0.0772143	1	2	1	3.36092e-11	70854.5	0
0.0782143	1	1	2	3.37143e-11	71075.9	0
0.0782143	1	2	1	3.36092e-11	70854.5	0
0.0792143	1	1	2	3.37156e-11	71078.8	0
0.0792143	1	2	1	3.36092e-11	70854.5	0
0.0802143	1	1	2	3.3717e-11	71081.6	0
0.0802143	1	2	1	3.36092e-11	70854.5	0
0.0812143	1	1	2	3.37183e-11	71084.4	0
0.0812143	1	2	1	3.36092e-11	70854.5	0
0.0822143	1	1	2	3.37197e-11	71087.3	0
0.0822143	1	2	1	3.36092e-11	70854.5	0
0.0832143	1	1	2	3.3721e-11	71090.1	0
0.0832143	1	2	1	3.36092e-11	70854.5	0
0.0842143	1	1	2	3.37224e-11	71093	0
0.0842143	1	2	1	3.36092e-11	70854.5	0
0.0852143	1	1	2	3.37237e-11	71095.8	0
0.0852143	1	2	1	3.36092e-11	70854.5	0
0.0862143	1	1	2	3.37251e-11	71098.7	0
0.0862143	1	2	1	3.36092e-11	70854.5	0
0.0872143	1	1	2	3.37264e-11	71101.5	0
0.0872143	1	2	1	3.36092e-11	70854.5	0
0.0882143	1	1	2	3.37278e-11	71104.3	0
0.0882143	1	2	1	3.36092e-11	70854.5	0
0.0892143	1	1	2	3.37291e-11	71107.2	0
0.0892143	1	2	1	3.36092e-11	70854.5	0
0.0902143	1	1	2	3.37305e-11	71110	0
0.0902143	1	2	1	3.36092e-11	70854.5	0
0.0912143	1	1	2	3.37318e-11	71112.9	0
0.0912143	1	2	1	3.36092e-11	70854.5	0
0.0922143	1	1	2	3.37331e-11	71115.7	0
0.0922143	1	2	1	3.36092e-11	70854.5	0
0.0932143	1	1	2	3.37345e-11	71118.6	0
0.0932143	1	2	1	3.36092e-11	70854.5	0
0.0942143	1	1	2	3.37358e-11	71121.4	0
0.0942143	1	2	1	3.36092e-11	70854.5	0
0.0952143	1	1	2	3.37372e-11	71124.3	0
0.0952143	1	2	1	3.36092e-11	70854.5	0
0.0962143	1	1	2	3.37385e-11	71127.1	0
0.0962143	1	2	1	3.36092e-11	70854.5	0
0.0972143	1	1	2	3.37399e-11	71129.9	0
0.0972143	1	2	1	3.36092e-11	70854.5	0
0.0982143	1	1	2	3.37412e-11	71132.8	0
0.0982143	1	2	1	3.36092e-11	70854.5	0
0.0992143	1	1	2	3.37426e-11	71135.6	0
0.0992143	1	2	1	3.36092e-11	70854.5	0
0.100214	1	1	2	3.37439e-11	71138.5	0
0.100214	1	2	1	3.36092e-11	70854.5	0
0.101214	1	1	2	3.37453e-11	71141.3	0
0.101214	1	2	1	3.36092e-11	70854.5	0
0.102214	1	1	2	3.37466e-11	71144.2	0
0.102214	1	2	1	3.36092e-11	70854.5	0
0.103214	1	1	2	3.3748e-11	71147	0
0.103214	1	2	1	3.36092e-11	70854.5	0
0.104214	1	1	2	3.37493e-11	71149.9	0
0.104214	1	2	1	3.36092e-11	70854.5	0
0.105214	1	1	2	3.37507e-11	71152.7	0
0.105214	1	2	1	3.36092e-11	70854.5	0
0.106214	1	1	2	3.3752e-11	71155.6	0
0.106214	1	2	1	3.36092e-11	70854.5	0
0.107214	1	1	2	3.37534e-11	71158.4	0
0.107214	1	2	1	3.36092e-11	70854.5	0
0.108214	1	1	2	3.37547e-11	71161.3	0
0.108214	1	2	1	3.36092e-11	70854.5	0
0.109214	1	1	2	3.37561e-11	71164.1	0
0.109214	1	2	1	3.36092e-11	70854.5	0
0.110214	1	1	2	3.37574e-11	71166.9	0
0.110214	1	2	1	3.36092e-11	70854.5	0
0.111214	1	1	2	3.37588e-11	71169.8	0
0.111214	1	2	1	3.36092e-11	70854.5	0
0.112214	1	1	2	3.37601e-11	71172.6	0
0.112214	1	2	1	3.36092e-11	70854.5	0
0.113214	1	1	2	3.37615e-11	71175.5	0
0.113214	1	2	1	3.36092e-11	70854.5	0
0.114214	1	1	2	3.37628e-11	71178.3	0
0.114214	1	2	1	3.36092e-11	70854.5	0
0.115214	1	1	2	3.37642e-11	71181.2	0
0.115214	1	2	1	3.36092e-11	70854.5	0
0.116214	1	1	2	3.37655e-11	71184	0
0.116214	1	2	1	3.36092e-11	70854.5	0
0.117214	1	1	2	3.37669e-11	71186.9	0
