% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.041	1	1	1	1080.25	0
0.081	1	1	1	1084.16	0
0.121	1	1	1	1088.09	0
0.123	1	2	3	370.738	0
0.161	1	1	1	1092.04	0
0.163	1	2	3	371.442	0
0.201	1	1	1	1096.01	0
0.203	1	2	3	372.147	0
0.241	1	1	1	1100	0
0.243	1	2	3	372.854	0
0.281	1	1	1	1104.01	0
0.283	1	2	3	373.562	0
0.321	1	1	1	1108.05	0
0.323	1	2	3	374.273	0
0.361	1	1	1	1112.11	0
0.363	1	2	3	374.986	0
0.401	1	1	1	1116.19	0
0.403	1	2	3	375.7	0
0.441	1	1	1	1120.29	0
0.481	1	1	1	2.97387	0
0.481	3	2	1	9.94019	0
0.521	1	1	1	2.97916	0
0.521	3	2	1	9.97197	0
0.561	1	1	1	2.98449	0
0.561	3	2	1	10.0039	0
0.601	1	1	1	2.98984	0
0.601	3	2	1	10.0361	0
0.641	1	1	1	2.99521	0
0.641	3	2	1	10.0684	0
0.681	1	1	1	3.00061	0
0.681	3	2	1	10.1008	0
0.721	1	1	1	3.00604	0
0.721	3	2	1	10.1335	0
0.761	1	1	1	3.01149	0
0.761	3	2	1	10.1663	0
0.801	1	1	1	3.01697	0
0.801	3	2	1	10.1993	0
0.841	1	1	1	3.02248	0
0.841	3	2	1	10.2325	0
0.881	1	1	1	3.02801	0
0.881	3	2	1	10.2659	0
0.921	1	1	1	3.03357	0
0.921	3	2	1	10.2994	0
0.961	1	1	1	3.03916	0
0.961	3	2	1	10.3331	0
1.001	1	1	1	3.04477	0
1.001	3	2	1	10.367	0
1.041	1	1	1	3.05042	0
1.041	3	2	1	10.4011	0
1.081	1	1	1	3.05609	0
1.081	3	2	1	10.4354	0
1.121	1	1	1	3.06178	0
1.121	3	2	1	10.4698	0
1.161	1	1	1	3.06751	0
1.161	3	2	1	10.5045	0
1.201	1	1	1	3.07327	0
1.201	3	2	1	10.5393	0
1.241	1	1	1	3.07905	0
1.241	3	2	1	10.5743	0
1.281	1	1	1	3.08486	0
1.281	3	2	1	10.6095	0
1.321	1	1	1	3.0907	0
1.321	3	2	1	10.6449	0
1.361	1	1	1	3.09657	0
1.361	3	2	1	10.6805	0
1.401	1	1	1	3.10247	0
1.401	3	2	1	10.7163	0
1.441	1	1	1	3.1084	0
1.441	3	2	1	10.7523	0
1.481	1	1	1	3.11436	0
1.481	3	2	1	10.7885	0
1.521	1	1	1	3.12035	0
1.521	3	2	1	10.8248	0
1.561	1	1	1	3.12637	0
1.561	3	2	1	10.8614	0
1.601	1	1	1	3.13242	0
1.601	3	2	1	10.8982	0
1.641	1	1	1	3.1385	0
1.641	3	2	1	10.9351	0
1.681	1	1	1	3.14461	0
1.681	3	2	1	10.9723	0
1.721	1	1	1	3.15075	0
1.721	3	2	1	11.0097	0
1.761	1	1	1	3.15693	0
1.761	3	2	1	11.0473	0
1.801	1	1	1	3.16313	0
1.801	3	2	1	11.085	0
1.841	1	1	1	3.16937	0
1.841	3	2	1	11.123	0
1.881	1	1	1	3.17564	0
1.881	3	2	1	11.1612	0
1.921	1	1	1	3.18194	0
1.921	3	2	1	11.1996	0
1.961	1	1	1	3.18828	0
1.961	3	2	1	11.2383	0
2.001	1	1	1	3.19464	0
2.001	3	2	1	11.2771	0
2.041	1	1	1	3.20104	0
2.041	3	2	1	11.3161	0
2.081	1	1	1	3.20748	0
2.081	3	2	1	11.3554	0
2.121	1	1	1	3.21394	0
2.121	3	2	1	11.3948	0
2.161	1	1	1	3.22044	0
2.161	3	2	1	11.4345	0
2.201	1	1	1	3.22698	0
2.201	3	2	1	11.4744	0
2.241	1	1	1	3.23354	0
2.241	3	2	1	11.5145	0
2.281	1	1	1	3.24015	0
2.281	3	2	1	11.5549	0
2.321	1	1	1	3.24678	0
2.321	3	2	1	11.5954	0
2.361	1	1	1	3.25346	0
2.361	3	2	1	11.6362	0
2.401	1	1	1	3.26016	0
2.401	3	2	1	11.6772	0
2.441	1	1	1	3.26691	0
2.441	3	2	1	11.7185	0
2.481	1	1	1	3.27368	0
2.481	3	2	1	11.7599	0
2.521	1	1	1	3.2805	0
2.521	3	2	1	11.8016	0
2.561	1	1	1	3.28735	0
2.561	3	2	1	11.8435	0
2.601	1	1	1	3.29424	0
2.601	3	2	1	11.8857	0
2.641	1	1	1	3.30116	0
2.641	3	2	1	11.928	0
2.681	1	1	1	3.30812	0
2.681	3	2	1	11.9706	0
2.721	1	1	1	3.31512	0
2.721	3	2	1	12.0135	0
2.761	1	1	1	3.32216	0
2.761	3	2	1	12.0565	0
2.801	1	1	1	3.32923	0
2.801	3	2	1	12.0999	0
2.841	1	1	1	3.33634	0
2.841	3	2	1	12.1434	0
2.881	1	1	1	3.34349	0
2.881	3	2	1	12.1872	0
2.921	1	1	1	3.35068	0
2.921	3	2	1	12.2312	0
2.961	1	1	1	3.35791	0
2.961	3	2	1	12.2755	0
3.001	1	1	1	3.36518	0
3.001	3	2	1	12.32	0
3.041	1	1	1	3.37249	0
3.041	3	2	1	12.3647	0
3.081	1	1	1	3.37984	0
3.081	3	2	1	12.4097	0
3.121	1	1	1	3.38722	0
3.121	3	2	1	12.455	0
3.161	1	1	1	3.39465	0
3.161	3	2	1	12.5005	0
3.201	1	1	1	3.40212	0
3.201	3	2	1	12.5462	0
3.241	1	1	1	3.40963	0
3.241	3	2	1	12.5922	0
3.281	1	1	1	3.41719	0
3.281	3	2	1	12.6384	0
3.321	1	1	1	3.42478	0
3.321	3	2	1	12.6849	0
3.361	1	1	1	3.43242	0
3.361	3	2	1	12.7317	0
3.401	1	1	1	3.4401	0
