% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.236	1	2	24	7	3	28	1095	0
0.237	1	2	24	8	3	28	1095	0
0.238	1	2	24	9	3	28	1095	0
0.239	1	1	24	10	1	28	1095	0
0.239	1	2	24	10	3	28	1095	0
0.24	1	1	25	1	1	28	1095	0
0.24	1	2	25	1	3	28	1095	0
0.241	1	2	25	2	3	28	2292	0
0.242	1	1	25	3	1	28	1095	0
0.242	1	2	25	3	3	28	1095	0
0.243	1	1	25	4	1	28	1095	0
0.243	1	2	25	4	3	28	1095	0
0.244	1	2	25	5	3	28	2292	0
0.245	1	1	25	6	1	28	1095	0
0.245	1	2	25	6	3	28	1095	0
0.246	1	1	25	7	1	28	1095	0
0.247	1	1	25	8	1	28	1095	0
0.248	1	1	25	9	1	28	1095	0
0.249	1	1	25	10	1	28	1095	0
0.25	1	1	26	1	1	28	1095	0
0.252	1	1	26	3	1	28	1095	0
0.253	1	1	26	4	1	28	1095	0
0.255	1	1	26	6	1	28	1095	0
0.256	1	1	26	7	1	28	1095	0
0.257	1	1	26	8	1	28	1095	0
0.262	1	1	27	3	1	28	1095	0
0.263	1	1	27	4	1	28	1095	0
0.265	1	1	27	6	1	28	1095	0
0.266	1	1	27	7	1	28	1095	0
0.267	1	1	27	8	1	28	1095	0
0.272	1	1	28	3	1	28	1095	0
0.273	1	1	28	4	1	28	1095	0
0.275	1	1	28	6	1	28	1095	0
0.276	1	1	28	7	1	28	1095	0
0.277	1	1	28	8	1	28	1095	0
0.282	1	1	29	3	1	28	1095	0
0.283	1	1	29	4	1	28	1095	0
0.283	1	2	29	4	3	28	1095	0
0.284	1	2	29	5	3	28	2292	0
0.285	1	1	29	6	1	28	1095	0
0.285	1	2	29	6	3	28	1095	0
0.286	1	1	29	7	1	28	1095	0
0.286	1	2	29	7	3	28	1095	0
0.287	1	1	29	8	1	28	1095	0
0.287	1	2	29	8	3	28	1095	0
0.288	1	2	29	9	3	28	2292	0
0.289	1	2	29	10	3	28	2292	0
0.292	1	1	30	3	1	28	1095	0
0.293	1	1	30	4	1	28	1095	0
0.295	1	1	30	6	1	28	1095	0
0.296	1	1	30	7	1	28	1095	0
0.297	1	1	30	8	1	28	1095	0
0.302	1	1	31	3	1	28	1095	0
0.303	1	1	31	4	1	28	1095	0
0.305	1	1	31	6	1	28	1095	0
0.306	1	1	31	7	1	28	1095	0
0.307	1	1	31	8	1	28	1095	0
0.312	1	1	32	3	1	28	1095	0
0.313	1	1	32	4	1	28	1095	0
0.315	1	1	32	6	1	28	1095	0
0.316	1	1	32	7	1	28	1095	0
0.317	1	1	32	8	1	28	1095	0
0.322	1	1	33	3	1	28	1095	0
0.323	1	1	33	4	1	28	1095	0
0.323	1	2	33	4	3	28	1095	0
0.324	1	2	33	5	3	28	2292	0
0.325	1	1	33	6	1	28	1095	0
0.325	1	2	33	6	3	28	1095	0
0.326	1	1	33	7	1	28	1095	0
0.326	1	2	33	7	3	28	1095	0
0.327	1	1	33	8	1	28	1095	0
0.327	1	2	33	8	3	28	1095	0
0.328	1	2	33	9	3	28	2292	0
0.329	1	2	33	10	3	28	2292	0
0.332	1	1	34	3	1	28	1095	0
0.333	1	1	34	4	1	28	1095	0
0.335	1	1	34	6	1	28	1095	0
0.336	1	1	34	7	1	28	1095	0
0.337	1	1	34	8	1	28	1095	0
0.342	1	1	35	3	1	28	1095	0
0.343	1	1	35	4	1	28	1095	0
0.345	1	1	35	6	1	28	1095	0
0.346	1	1	35	7	1	28	1095	0
0.347	1	1	35	8	1	28	1095	0
0.352	1	1	36	3	1	28	1095	0
0.353	1	1	36	4	1	28	1095	0
0.355	1	1	36	6	1	28	1095	0
0.356	1	1	36	7	1	28	1095	0
0.357	1	1	36	8	1	28	1095	0
0.362	1	1	37	3	1	28	1095	0
0.363	1	1	37	4	1	28	1095	0
0.363	1	2	37	4	3	28	1095	0
0.364	1	2	37	5	3	28	2292	0
0.365	1	1	37	6	1	28	1095	0
0.365	1	2	37	6	3	28	1095	0
0.366	1	1	37	7	1	28	1095	0
0.366	1	2	37	7	3	28	1095	0
0.367	1	1	37	8	1	28	1095	0
0.367	1	2	37	8	3	28	1095	0
0.368	1	2	37	9	3	28	2292	0
0.369	1	2	37	10	3	28	2292	0
0.372	1	1	38	3	1	28	1095	0
0.373	1	2	38	4	3	28	1095	0
0.374	1	2	38	5	3	28	1095	0
0.375	1	2	38	6	3	28	1095	0
0.376	1	2	38	7	3	28	1095	0
0.377	1	2	38	8	3	28	1095	0
0.378	1	2	38	9	3	28	1095	0
0.379	1	1	38	10	1	28	1095	0
0.379	1	2	38	10	3	28	1095	0
0.38	1	1	39	1	1	28	1095	0
0.38	1	2	39	1	3	28	1095	0
0.381	1	2	39	2	3	28	2292	0
0.382	1	1	39	3	1	28	1095	0
0.382	1	2	39	3	3	28	1095	0
0.383	1	1	39	4	1	28	1095	0
0.383	1	2	39	4	3	28	1095	0
0.384	1	2	39	5	3	28	2292	0
0.385	1	1	39	6	1	28	1095	0
0.385	1	2	39	6	3	28	1095	0
0.386	1	1	39	7	1	28	1095	0
0.387	1	1	39	8	1	28	1095	0
0.388	1	1	39	9	1	28	1095	0
0.389	1	1	39	10	1	28	1095	0
0.39	1	1	40	1	1	28	1095	0
0.39	1	2	40	1	3	28	1095	0
0.391	1	2	40	2	3	28	2292	0
0.392	1	1	40	3	1	28	1095	0
0.393	1	1	40	4	1	28	1095	0
0.395	1	1	40	6	1	28	1095	0
0.396	1	1	40	7	1	28	1095	0
0.397	1	2	40	8	3	28	1095	0
0.398	1	2	40	9	3	28	1095	0
0.399	1	2	40	10	3	28	1095	0
0.4	1	2	41	1	3	28	1095	0
0.401	1	1	41	2	1	28	1095	0
0.401	1	2	41	2	3	28	1095	0
0.402	1	1	41	3	1	28	1095	0
0.402	1	2	41	3	3	28	1095	0
0.403	1	1	41	4	1	28	1095	0
0.403	1	2	41	4	3	28	1095	0
0.404	1	2	41	5	3	28	2292	0
0.405	1	1	41	6	1	28	1095	0
0.405	1	2	41	6	3	28	1095	0
0.406	1	1	41	7	1	28	1095	0
0.406	1	2	41	7	3	28	1095	0
0.407	1	1	41	8	1	28	1095	0
0.407	1	2	41	8	3	28	1095	0
0.412	1	1	42	3	1	28	1095	0
0.413	1	1	42	4	1	28	1095	0
0.415	1	1	42	6	1	28	1095	0
0.416	1	1	42	7	1	28	1095	0
0.417	1	1	42	8	1	28	1095	0
0.422	1	1	43	3	1	28	1095	0
0.423	1	1	43	4	1	28	1095	0
0.425	1	1	43	6	1	28	1095	0
0.426	1	1	43	7	1	28	1095	0
0.427	1	1	43	8	1	28	1095	0
0.432	1	1	44	3	1	28	1095	0
0.433	1	1	44	4	1	28	1095	0
0.435	1	1	44	6	1	28	1095	0
0.436	1	1	44	7	1	28	1095	0
0.437	1	1	44	8	1	28	1095	0
0.442	1	1	45	3	1	28	1095	0
0.443	1	1	45	4	1	28	1095	0
0.445	1	1	45	6	1	28	2292	0
0.446	1	1	45	7	1	28	2292	0
0.447	3	2	45	8	1	0	85	0
0.448	3	2	45	9	1	0	85	0
0.449	3	2	45	10	1	0	85	0
0.45	3	2	46	1	1	0	85	0
0.451	3	2	46	2	1	0	85	0
0.452	1	1	46	3	1	28	2292	0
0.452	3	2	46	3	1	0	85	0
0.453	3	2	46	4	1	0	85	0
0.454	3	2	46	5	1	28	2292	0
0.455	1	1	46	6	1	28	2292	0
0.455	3	2	46	6	1	28	2292	0
0.456	1	1	46	7	1	28	2292	0
0.457	3	2	46	8	1	28	2292	0
0.458	3	2	46	9	1	28	2292	0
0.459	1	1	46	10	1	28	2292	0
0.459	3	2	46	10	1	10	549	0
0.46	3	2	47	1	1	28	2292	0
0.461	3	2	47	2	1	28	2292	0
0.462	1	1	47	3	1	28	2292	0
0.462	3	2	47	3	1	28	2292	0
0.463	1	1	47	4	1	6	325	0
0.464	1	1	47	5	1	6	325	0
0.465	1	1	47	6	1	6	325	0
0.466	1	1	47	7	1	28	2292	0
0.467	3	2	47	8	1	28	2292	0
0.468	3	2	47	9	1	28	2292	0
0.469	1	1	47	10	1	28	2292	0
0.469	3	2	47	10	1	28	2292	0
0.472	1	1	48	3	1	28	2292	0
0.473	1	1	48	4	1	28	2292	0
0.475	1	1	48	6	1	28	2292	0
0.476	1	1	48	7	1	6	325	0
0.477	1	1	48	8	1	6	325	0
0.477	3	2	48	8	1	10	549	0
0.478	1	1	48	9	1	6	325	0
0.478	3	2	48	9	1	10	549	0
0.479	1	1	48	10	1	28	2292	0
0.479	3	2	48	10	1	10	549	0
0.48	3	2	49	1	1	10	549	0
0.481	3	2	49	2	1	10	549	0
0.482	1	1	49	3	1	28	2292	0
0.482	3	2	49	3	1	10	549	0
0.483	3	2	49	4	1	10	549	0
0.484	3	2	49	5	1	28	2292	0
0.485	1	1	49	6	1	6	325	0
0.486	1	1	49	7	1	28	2292	0
0.487	1	1	49	8	1	6	325	0
0.487	3	2	49	8	1	28	2292	0
0.488	1	1	49	9	1	6	325	0
0.488	3	2	49	9	1	28	2292	0
0.489	1	1	49	10	1	6	325	0
0.489	3	2	49	10	1	28	2292	0
0.49	1	1	50	1	1	6	325	0
0.49	3	2	50	1	1	28	2292	0
0.491	1	1	50	2	1	6	325	0
0.492	1	1	50	3	1	28	2292	0
0.494	3	2	50	5	1	28	2292	0
0.495	1	1	50	6	1	28	2292	0
