% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.000214285	1	1	0	3.36092e-11	70854.5	0
0.00121429	1	1	0	3.36123e-11	70860.9	0
0.00221428	1	1	0	3.36153e-11	70867.3	0
0.00321428	1	1	0	3.36183e-11	70873.6	0
0.00421428	1	1	0	3.36213e-11	70880	0
0.00521428	1	1	0	3.36244e-11	70886.4	0
0.00621428	1	1	0	3.36274e-11	70892.8	0
0.00721428	1	1	0	3.36304e-11	70899.2	0
0.00821428	1	1	0	3.36335e-11	70905.5	0
0.00921428	1	1	0	3.36365e-11	70911.9	0
0.0102143	1	1	0	3.36395e-11	70918.3	0
0.0112143	1	1	0	3.36425e-11	70924.7	0
0.0122143	1	1	0	3.36456e-11	70931.1	0
0.0132143	1	1	0	3.36486e-11	70937.5	0
0.0142143	1	1	0	3.36516e-11	70943.9	0
0.0152143	1	1	0	3.36547e-11	70950.3	0
0.0162143	1	1	0	3.36577e-11	70956.6	0
0.0172143	1	1	0	3.36607e-11	70963	0
0.0182143	1	1	0	3.36638e-11	70969.4	0
0.0192143	1	1	0	3.36668e-11	70975.8	0
0.0202143	1	1	0	3.36698e-11	70982.2	0
0.0212143	1	1	1	3.36729e-11	70988.6	0
0.0222143	1	1	1	3.36759e-11	70995	0
0.0232143	1	1	1	3.36789e-11	71001.4	0
0.0242143	1	1	1	3.3682e-11	71007.8	0
0.0252143	1	1	1	3.3685e-11	71014.2	0
0.0262143	1	1	1	3.3688e-11	71020.6	0
0.0272143	1	1	1	3.36911e-11	71027	0
0.0282143	1	1	1	3.36941e-11	71033.4	0
0.0292143	1	1	1	3.36971e-11	71039.8	0
0.0302143	1	1	1	3.37002e-11	71046.2	0
0.0312143	1	1	1	3.37032e-11	71052.6	0
0.0322143	1	1	1	3.37062e-11	71059	0
0.0332143	1	1	1	3.37093e-11	71065.4	0
0.0342143	1	1	1	3.37123e-11	71071.8	0
0.0352143	1	1	1	3.37154e-11	71078.2	0
0.0362143	1	1	1	3.37184e-11	71084.6	0
0.0372143	1	1	1	3.37214e-11	71091	0
0.0382143	1	1	1	3.37245e-11	71097.4	0
0.0392143	1	1	1	3.37275e-11	71103.9	0
0.0402143	1	1	1	3.37306e-11	71110.3	0
0.0412143	1	1	1	3.37336e-11	71116.7	0
0.0422143	1	1	1	3.37366e-11	71123.1	0
0.0432143	1	1	1	3.37397e-11	71129.5	0
0.0442143	1	1	1	3.37427e-11	71135.9	0
0.0452143	1	1	1	3.37458e-11	71142.3	0
0.0462143	1	1	1	3.37488e-11	71148.7	0
0.0472143	1	1	1	3.37519e-11	71155.2	0
0.0482143	1	1	1	3.37549e-11	71161.6	0
0.0492143	1	1	1	3.37579e-11	71168	0
0.0502143	1	1	1	3.3761e-11	71174.4	0
0.0512143	1	1	1	3.3764e-11	71180.8	0
0.0522143	1	1	1	3.37671e-11	71187.3	0
0.0532143	1	1	1	3.37701e-11	71193.7	0
0.0542143	1	1	1	3.37732e-11	71200.1	0
0.0552143	1	1	1	3.37762e-11	71206.5	0
0.0562143	1	1	1	3.37793e-11	71213	0
0.0572143	1	1	1	3.37823e-11	71219.4	0
0.0582143	1	1	1	3.37854e-11	71225.8	0
0.0592143	1	1	1	3.37884e-11	71232.2	0
0.0602143	1	1	1	3.37915e-11	71238.7	0
0.0612143	1	1	1	3.37945e-11	71245.1	0
0.0622143	1	1	1	3.37976e-11	71251.5	0
0.0632143	1	1	1	3.38006e-11	71258	0
0.0642143	1	1	1	3.38037e-11	71264.4	0
0.0652143	1	1	1	3.38067e-11	71270.8	0
0.0662143	1	1	1	3.38098e-11	71277.3	0
0.0672143	1	1	1	3.38128e-11	71283.7	0
0.0682143	1	1	1	3.38159e-11	71290.1	0
0.0692143	1	1	1	3.38189e-11	71296.6	0
0.0702143	1	1	1	3.3822e-11	71303	0
0.0712143	1	1	1	3.3825e-11	71309.4	0
0.0722143	1	1	1	3.38281e-11	71315.9	0
0.0732143	1	1	1	3.38311e-11	71322.3	0
0.0742143	1	1	1	3.38342e-11	71328.7	0
0.0752143	1	1	1	3.38373e-11	71335.2	0
0.0762143	1	1	1	3.38403e-11	71341.6	0
0.0772143	1	1	1	3.38434e-11	71348.1	0
0.0782143	1	1	1	3.38464e-11	71354.5	0
0.0792143	1	1	1	3.38495e-11	71361	0
0.0802143	1	1	1	3.38525e-11	71367.4	0
0.0812143	1	1	1	3.38556e-11	71373.9	0
0.0822143	1	1	1	3.38587e-11	71380.3	0
0.0832143	1	1	1	3.38617e-11	71386.8	0
0.0842143	1	1	1	3.38648e-11	71393.2	0
0.0852143	1	1	1	3.38678e-11	71399.6	0
0.0862143	1	1	1	3.38709e-11	71406.1	0
0.0872143	1	1	1	3.38739e-11	71412.6	0
0.0882143	1	1	1	3.3877e-11	71419	0
0.0892143	1	1	1	3.38801e-11	71425.5	0
0.0902143	1	1	1	3.38831e-11	71431.9	0
0.0912143	1	1	1	3.38862e-11	71438.4	0
0.0922143	1	1	1	3.38893e-11	71444.8	0
0.0932143	1	1	1	3.38923e-11	71451.3	0
0.0942143	1	1	1	3.38954e-11	71457.7	0
0.0952143	1	1	1	3.38984e-11	71464.2	0
0.0962143	1	1	1	3.39015e-11	71470.7	0
0.0972143	1	1	1	3.39046e-11	71477.1	0
0.0982143	1	1	1	3.39076e-11	71483.6	0
0.0992143	1	1	1	3.39107e-11	71490	0
0.100214	1	1	1	3.39138e-11	71496.5	0
0.101214	1	1	1	3.39168e-11	71503	0
0.102214	1	1	1	3.39199e-11	71509.4	0
0.103214	1	1	1	3.3923e-11	71515.9	0
0.104214	1	1	1	3.3926e-11	71522.4	0
0.105214	1	1	1	3.39291e-11	71528.8	0
0.106214	1	1	1	3.39322e-11	71535.3	0
0.107214	1	1	1	3.39352e-11	71541.8	0
0.108214	1	1	1	3.39383e-11	71548.2	0
0.109214	1	1	1	3.39414e-11	71554.7	0
0.110214	1	1	1	3.39444e-11	71561.2	0
0.111214	1	1	1	3.39475e-11	71567.7	0
0.112214	1	1	1	3.39506e-11	71574.1	0
0.113214	1	1	1	3.39537e-11	71580.6	0
0.114214	1	1	1	3.39567e-11	71587.1	0
0.115214	1	1	1	3.39598e-11	71593.6	0
0.116214	1	1	1	3.39629e-11	71600	0
0.117214	1	1	1	3.39659e-11	71606.5	0
0.118214	1	1	1	3.3969e-11	71613	0
0.119214	1	1	1	3.39721e-11	71619.5	0
0.120214	1	1	1	3.39752e-11	71625.9	0
0.121214	1	1	1	3.39782e-11	71632.4	0
0.122214	1	1	1	3.39813e-11	71638.9	0
0.123214	1	1	1	3.39844e-11	71645.4	0
0.124214	1	1	1	3.39875e-11	71651.9	0
0.125214	1	1	1	3.39905e-11	71658.4	0
0.126214	1	1	1	3.39936e-11	71664.8	0
0.127214	1	1	1	3.39967e-11	71671.3	0
0.128214	1	1	1	3.39998e-11	71677.8	0
0.129214	1	1	1	3.40029e-11	71684.3	0
0.130214	1	1	1	3.40059e-11	71690.8	0
0.131214	1	1	1	3.4009e-11	71697.3	0
0.132214	1	1	1	3.40121e-11	71703.8	0
0.133214	1	1	1	3.40152e-11	71710.3	0
0.134214	1	1	1	3.40182e-11	71716.8	0
0.135214	1	1	1	3.40213e-11	71723.3	0
0.136214	1	1	1	3.40244e-11	71729.8	0
0.137214	1	1	1	3.40275e-11	71736.2	0
0.138214	1	1	1	3.40306e-11	71742.7	0
0.139214	1	1	1	3.40337e-11	71749.2	0
0.140214	1	1	1	3.40367e-11	71755.7	0
0.141214	1	1	1	3.40398e-11	71762.2	0
0.142214	1	1	1	3.40429e-11	71768.7	0
0.143214	1	1	1	3.4046e-11	71775.2	0
0.144214	1	1	1	3.40491e-11	71781.7	0
0.145214	1	1	1	3.40522e-11	71788.2	0
0.146214	1	1	1	3.40552e-11	71794.7	0
0.147214	1	1	1	3.40583e-11	71801.2	0
0.148214	1	1	1	3.40614e-11	71807.8	0
0.149214	1	1	1	3.40645e-11	71814.3	0
0.150214	1	1	1	3.40676e-11	71820.8	0
0.151214	1	1	1	3.40707e-11	71827.3	0
0.152214	1	1	1	3.40738e-11	71833.8	0
0.153214	1	1	1	3.40768e-11	71840.3	0
0.154214	1	1	1	3.40799e-11	71846.8	0
0.155214	1	1	1	3.4083e-11	71853.3	0
0.156214	1	1	1	3.40861e-11	71859.8	0
0.157214	1	1	1	3.40892e-11	71866.3	0
0.158214	1	1	1	3.40923e-11	71872.9	0
0.159214	1	1	1	3.40954e-11	71879.4	0
0.160214	1	1	1	3.40985e-11	71885.9	0
0.161214	1	1	1	3.41016e-11	71892.4	0
0.162214	1	1	1	3.41047e-11	71898.9	0
0.163214	1	1	1	3.41077e-11	71905.4	0
0.164214	1	1	1	3.41108e-11	71912	0
0.165214	1	1	1	3.41139e-11	71918.5	0
0.166214	1	1	1	3.4117e-11	71925	0
0.167214	1	1	1	3.41201e-11	71931.5	0
