% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
36	1	1	1	0	0	85	0	1	0
37	1	1	1	0	0	85	0	1	0
38	1	1	1	0	0	85	0	1	0
39	1	1	1	0	0	85	0	1	0
40	1	1	1	0	0	85	0	1	0
41	1	1	1	0	0	85	0	1	0
42	1	1	1	0	0	85	0	1	0
43	1	1	1	0	28	2292	0	1	0
46	1	1	1	0	28	2292	0	1	0
47	1	1	1	0	28	2292	0	1	0
48	1	1	1	0	28	2292	0	1	0
49	1	1	1	0	28	2292	0	1	0
56	1	1	1	0	28	2292	0	1	0
58	1	1	1	0	28	2292	0	1	0
66	1	1	1	0	28	2292	0	1	0
68	1	1	1	0	28	2292	0	1	0
76	1	1	1	0	28	2292	0	1	0
78	1	1	1	0	28	2292	0	1	0
86	1	1	1	0	28	2292	0	1	0
88	1	1	1	0	28	2292	0	1	0
96	1	1	1	0	28	2292	0	1	0
98	1	1	1	0	28	2292	0	1	0
106	1	1	1	0	28	2292	0	1	0
108	1	1	1	0	28	2292	0	1	0
116	1	1	1	0	28	2292	0	1	0
118	1	1	1	0	28	2292	0	1	0
126	1	1	1	0	28	2292	0	1	0
128	1	1	1	0	28	2292	0	1	0
136	1	1	1	0	28	2292	0	1	0
138	1	1	1	0	28	2292	0	1	0
146	1	1	1	0	28	2292	0	1	0
148	1	1	1	0	28	2292	0	1	0
156	1	1	1	0	28	2292	0	1	0
158	1	1	1	0	28	2292	0	1	0
166	1	1	1	0	28	2292	0	1	0
168	1	1	1	0	28	2292	0	1	0
176	1	1	1	0	28	2292	0	1	0
178	1	1	1	0	28	2292	0	1	0
186	1	1	1	0	28	2292	0	1	0
188	1	1	1	0	28	2292	0	1	0
196	1	1	1	0	28	2292	0	1	0
198	1	1	1	0	28	2292	0	1	0
206	1	1	1	0	28	2292	0	1	0
208	1	1	1	0	28	2292	0	1	0
216	1	1	1	0	28	2292	0	1	0
218	1	1	1	0	28	2292	0	1	0
226	1	1	1	0	28	2292	0	1	0
228	1	1	1	0	28	2292	0	1	0
236	1	1	1	0	28	2292	0	1	0
238	1	1	1	0	28	2292	0	1	0
246	1	1	1	0	28	2292	0	1	0
248	1	1	1	0	28	2292	0	1	0
256	1	1	1	0	28	2292	0	1	0
258	1	1	1	0	28	2292	0	1	0
266	1	1	1	0	28	2292	0	1	0
268	1	1	1	0	28	2292	0	1	0
276	1	1	1	0	28	2292	0	1	0
278	1	1	1	0	28	2292	0	1	0
286	1	1	1	0	28	2292	0	1	0
288	1	1	1	0	28	2292	0	1	0
296	1	1	1	0	28	2292	0	1	0
298	1	1	1	0	28	2292	0	1	0
308	1	1	1	0	28	2292	0	1	0
316	1	1	1	0	28	2292	0	1	0
318	1	1	1	0	28	2292	0	1	0
326	1	1	1	0	28	2292	0	1	0
328	1	1	1	0	28	2292	0	1	0
336	1	1	1	0	28	2292	0	1	0
338	1	1	1	0	28	2292	0	1	0
346	1	1	1	0	28	2292	0	1	0
348	1	1	1	0	28	2292	0	1	0
358	1	1	1	0	28	2292	0	1	0
368	1	1	1	0	28	2292	0	1	0
376	1	1	1	0	28	2292	0	1	0
378	1	1	1	0	28	2292	0	1	0
386	1	1	1	0	28	2292	0	1	0
388	1	1	1	0	28	2292	0	1	0
