% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
1146	1	1	1	0	28	2292	0	1	1	0
1156	1	1	1	0	28	2292	0	1	1	0
1166	1	1	1	0	28	2292	0	1	1	0
1176	1	1	1	0	28	2292	0	1	1	0
1186	1	1	1	0	28	2292	0	1	1	0
1196	1	1	1	0	28	2292	0	1	1	0
1206	1	1	1	0	28	2292	0	1	1	0
1216	1	1	1	0	28	2292	0	1	1	0
1226	1	1	1	0	28	2292	0	1	1	0
1236	1	1	1	0	28	2292	0	1	1	0
1246	1	1	1	0	28	2292	0	1	1	0
1256	1	1	1	0	28	2292	0	1	1	0
1266	1	1	1	0	28	2292	0	1	1	0
1276	1	1	1	0	28	2292	0	1	1	0
1286	1	1	1	0	28	2292	0	1	1	0
1296	1	1	1	0	28	2292	0	1	1	0
1306	1	1	1	0	28	2292	0	1	1	0
1316	1	1	1	0	28	2292	0	1	1	0
1326	1	1	1	0	28	2292	0	1	1	0
1336	1	1	1	0	28	2292	0	1	1	0
1346	1	1	1	0	28	2292	0	1	1	0
1356	1	1	1	0	28	2292	0	1	1	0
1366	1	1	1	0	28	2292	0	1	1	0
1376	1	1	1	0	28	2292	0	1	1	0
1386	1	1	1	0	28	2292	0	1	1	0
1396	1	1	1	0	28	2292	0	1	1	0
1406	1	1	1	0	28	2292	0	1	1	0
1416	1	1	1	0	28	2292	0	1	1	0
1426	1	1	1	0	28	2292	0	1	1	0
1436	1	1	1	0	28	2292	0	1	1	0
1446	1	1	1	0	28	2292	0	1	1	0
1456	1	1	1	0	28	2292	0	1	1	0
1466	1	1	1	0	28	2292	0	1	1	0
1476	1	1	1	0	28	2292	0	1	1	0
1486	1	1	1	0	28	2292	0	1	1	0
1496	1	1	1	0	28	2292	0	1	1	0
1506	1	1	1	0	28	2292	0	1	1	0
1516	1	1	1	0	28	2292	0	1	1	0
1526	1	1	1	0	28	2292	0	1	1	0
1536	1	1	1	0	28	2292	0	1	1	0
1546	1	1	1	0	28	2292	0	1	1	0
1556	1	1	1	0	28	2292	0	1	1	0
1566	1	1	1	0	28	2292	0	1	1	0
1576	1	1	1	0	28	2292	0	1	1	0
1586	1	1	1	0	28	2292	0	1	1	0
1596	1	1	1	0	28	2292	0	1	1	0
1606	1	1	1	0	28	2292	0	1	1	0
1616	1	1	1	0	28	2292	0	1	1	0
1626	1	1	1	0	28	2292	0	1	1	0
1636	1	1	1	0	28	2292	0	1	1	0
1646	1	1	1	0	28	2292	0	1	1	0
1656	1	1	1	0	28	2292	0	1	1	0
1666	1	1	1	0	28	2292	0	1	1	0
1676	1	1	1	0	28	2292	0	1	1	0
1686	1	1	1	0	28	2292	0	1	1	0
1696	1	1	1	0	28	2292	0	1	1	0
1706	1	1	1	0	28	2292	0	1	1	0
1716	1	1	1	0	28	2292	0	1	1	0
1726	1	1	1	0	28	2292	0	1	1	0
1736	1	1	1	0	28	2292	0	1	1	0
1746	1	1	1	0	28	2292	0	1	1	0
1756	1	1	1	0	28	2292	0	1	1	0
1766	1	1	1	0	28	2292	0	1	1	0
1776	1	1	1	0	28	2292	0	1	1	0
1786	1	1	1	0	28	2292	0	1	1	0
1796	1	1	1	0	28	2292	0	1	1	0
1806	1	1	1	0	28	2292	0	1	1	0
1816	1	1	1	0	28	2292	0	1	1	0
1826	1	1	1	0	28	2292	0	1	1	0
1836	1	1	1	0	28	2292	0	1	1	0
1846	1	1	1	0	28	2292	0	1	1	0
1856	1	1	1	0	28	2292	0	1	1	0
1866	1	1	1	0	28	2292	0	1	1	0
1876	1	1	1	0	28	2292	0	1	1	0
1886	1	1	1	0	28	2292	0	1	1	0
1896	1	1	1	0	28	2292	0	1	1	0
1906	1	1	1	0	28	2292	0	1	1	0
1916	1	1	1	0	28	2292	0	1	1	0
1926	1	1	1	0	28	2292	0	1	1	0
1936	1	1	1	0	28	2292	0	1	1	0
1946	1	1	1	0	28	2292	0	1	1	0
1956	1	1	1	0	28	2292	0	1	1	0
1966	1	1	1	0	28	2292	0	1	1	0
1976	1	1	1	0	28	2292	0	1	1	0
1986	1	1	1	0	28	2292	0	1	1	0
