% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
769	1	1	1	0	28	2196	0	1	0
777	1	1	1	0	28	2196	0	1	0
779	1	1	1	0	28	2196	0	1	0
787	1	1	1	0	28	2196	0	1	0
789	1	1	1	0	28	2196	0	1	0
797	1	1	1	0	28	2196	0	1	0
799	1	1	1	0	28	2196	0	1	0
807	1	1	1	0	28	2196	0	1	0
809	1	1	1	0	28	2196	0	1	0
817	1	1	1	0	28	2196	0	1	0
819	1	1	1	0	28	2196	0	1	0
827	1	1	1	0	28	2196	0	1	0
829	1	1	1	0	28	2196	0	1	0
837	1	1	1	0	28	2196	0	1	0
839	1	1	1	0	28	2196	0	1	0
847	1	1	1	0	28	2196	0	1	0
849	1	1	1	0	28	2196	0	1	0
857	1	1	1	0	28	2196	0	1	0
859	1	1	1	0	28	2196	0	1	0
867	1	1	1	0	28	2196	0	1	0
869	1	1	1	0	28	2196	0	1	0
877	1	1	1	0	28	2196	0	1	0
879	1	1	1	0	28	2196	0	1	0
887	1	1	1	0	28	2196	0	1	0
889	1	1	1	0	28	2196	0	1	0
897	1	1	1	0	28	2196	0	1	0
899	1	1	1	0	28	2196	0	1	0
907	1	1	1	0	28	2196	0	1	0
909	1	1	1	0	28	2196	0	1	0
917	1	1	1	0	28	2196	0	1	0
919	1	1	1	0	28	2196	0	1	0
927	1	1	1	0	28	2196	0	1	0
929	1	1	1	0	28	2196	0	1	0
937	1	1	1	0	28	2196	0	1	0
939	1	1	1	0	28	2196	0	1	0
947	1	1	1	0	28	2196	0	1	0
949	1	1	1	0	28	2196	0	1	0
957	1	1	1	0	28	2196	0	1	0
959	1	1	1	0	28	2196	0	1	0
967	1	1	1	0	28	2196	0	1	0
969	1	1	1	0	28	2196	0	1	0
977	1	1	1	0	28	2196	0	1	0
979	1	1	1	0	28	2196	0	1	0
987	1	1	1	0	28	2196	0	1	0
989	1	1	1	0	28	2196	0	1	0
997	1	1	1	0	28	2196	0	1	0
999	1	1	1	0	28	2196	0	1	0
1007	1	1	1	0	28	2196	0	1	0
1009	1	1	1	0	28	2196	0	1	0
1017	1	1	1	0	28	2196	0	1	0
1019	1	1	1	0	28	2196	0	1	0
1027	1	1	1	0	28	2196	0	1	0
1029	1	1	1	0	28	2196	0	1	0
1037	1	1	1	0	28	2196	0	1	0
1039	1	1	1	0	28	2196	0	1	0
1047	1	1	1	0	28	2196	0	1	0
1049	1	1	1	0	28	2196	0	1	0
1057	1	1	1	0	28	2196	0	1	0
1059	1	1	1	0	28	2196	0	1	0
1067	1	1	1	0	28	2196	0	1	0
1069	1	1	1	0	28	2196	0	1	0
1077	1	1	1	0	28	2196	0	1	0
1079	1	1	1	0	28	2196	0	1	0
1087	1	1	1	0	28	2196	0	1	0
1089	1	1	1	0	28	2196	0	1	0
1097	1	1	1	0	28	2196	0	1	0
1099	1	1	1	0	28	2196	0	1	0
1107	1	1	1	0	28	2196	0	1	0
1109	1	1	1	0	28	2196	0	1	0
1117	1	1	1	0	28	2196	0	1	0
1119	1	1	1	0	28	2196	0	1	0
1127	1	1	1	0	28	2196	0	1	0
1129	1	1	1	0	28	2196	0	1	0
1137	1	1	1	0	28	2196	0	1	0
1139	1	1	1	0	28	2196	0	1	0
1147	1	1	1	0	28	2196	0	1	0
1149	1	1	1	0	28	2196	0	1	0
1157	1	1	1	0	28	2196	0	1	0
1159	1	1	1	0	28	2196	0	1	0
1167	1	1	1	0	28	2196	0	1	0
1169	1	1	1	0	28	2196	0	1	0
1177	1	1	1	0	28	2196	0	1	0
1179	1	1	1	0	28	2196	0	1	0
1187	1	1	1	0	28	2196	0	1	0
1189	1	1	1	0	28	2196	0	1	0
1197	1	1	1	0	28	2196	0	1	0
1199	1	1	1	0	28	2196	0	1	0
1207	1	1	1	0	28	2196	0	1	0
1209	1	1	1	0	28	2196	0	1	0
1217	1	1	1	0	28	2196	0	1	0
1219	1	1	1	0	28	2196	0	1	0
1227	1	1	1	0	28	2196	0	1	0
1229	1	1	1	0	28	2196	0	1	0
1237	1	1	1	0	28	2196	0	1	0
1239	1	1	1	0	28	2196	0	1	0
1247	1	1	1	0	28	2196	0	1	0
1249	1	1	1	0	28	2196	0	1	0
1257	1	1	1	0	28	2196	0	1	0
1259	1	1	1	0	28	2196	0	1	0
1267	1	1	1	0	28	2196	0	1	0
1269	1	1	1	0	28	2196	0	1	0
1277	1	1	1	0	28	2196	0	1	0
1279	1	1	1	0	28	2196	0	1	0
1287	1	1	1	0	28	2196	0	1	0
1289	1	1	1	0	28	2196	0	1	0
1297	1	1	1	0	28	2196	0	1	0
1299	1	1	1	0	28	2196	0	1	0
1307	1	1	1	0	28	2196	0	1	0
1309	1	1	1	0	28	2196	0	1	0
1317	1	1	1	0	28	2196	0	1	0
1319	1	1	1	0	28	2196	0	1	0
1327	1	1	1	0	28	2196	0	1	0
1329	1	1	1	0	28	2196	0	1	0
1337	1	1	1	0	28	2196	0	1	0
1339	1	1	1	0	28	2196	0	1	0
1347	1	1	1	0	28	2196	0	1	0
1349	1	1	1	0	28	2196	0	1	0
1357	1	1	1	0	28	2196	0	1	0
1359	1	1	1	0	28	2196	0	1	0
1367	1	1	1	0	28	2196	0	1	0
1369	1	1	1	0	28	2196	0	1	0
1377	1	1	1	0	28	2196	0	1	0
1379	1	1	1	0	28	2196	0	1	0
1387	1	1	1	0	28	2196	0	1	0
1389	1	1	1	0	28	2196	0	1	0
1397	1	1	1	0	28	2196	0	1	0
1399	1	1	1	0	28	2196	0	1	0
1407	1	1	1	0	28	2196	0	1	0
1409	1	1	1	0	28	2196	0	1	0
1417	1	1	1	0	28	2196	0	1	0
1419	1	1	1	0	28	2196	0	1	0
1427	1	1	1	0	28	2196	0	1	0
1429	1	1	1	0	28	2196	0	1	0
1437	1	1	1	0	28	2196	0	1	0
1439	1	1	1	0	28	2196	0	1	0
1447	1	1	1	0	28	2196	0	1	0
1449	1	1	1	0	28	2196	0	1	0
1457	1	1	1	0	28	2196	0	1	0
1459	1	1	1	0	28	2196	0	1	0
1467	1	1	1	0	28	2196	0	1	0
1469	1	1	1	0	28	2196	0	1	0
1477	1	1	1	0	28	2196	0	1	0
1479	1	1	1	0	28	2196	0	1	0
1487	1	1	1	0	28	2196	0	1	0
1489	1	1	1	0	28	2196	0	1	0
1497	1	1	1	0	28	2196	0	1	0
1499	1	1	1	0	28	2196	0	1	0
1507	1	1	1	0	28	2196	0	1	0
1509	1	1	1	0	28	2196	0	1	0
1517	1	1	1	0	28	2196	0	1	0
1519	1	1	1	0	28	2196	0	1	0
1527	1	1	1	0	28	2196	0	1	0
1529	1	1	1	0	28	2196	0	1	0
1537	1	1	1	0	28	2196	0	1	0
1539	1	1	1	0	28	2196	0	1	0
1547	1	1	1	0	28	2196	0	1	0
1549	1	1	1	0	28	2196	0	1	0
1557	1	1	1	0	28	2196	0	1	0
1559	1	1	1	0	28	2196	0	1	0
1567	1	1	1	0	28	2196	0	1	0
1569	1	1	1	0	28	2196	0	1	0
1577	1	1	1	0	28	2196	0	1	0
1579	1	1	1	0	28	2196	0	1	0
1587	1	1	1	0	28	2196	0	1	0
1589	1	1	1	0	28	2196	0	1	0
1597	1	1	1	0	28	2196	0	1	0
1599	1	1	1	0	28	2196	0	1	0
1607	1	1	1	0	28	2196	0	1	0
1609	1	1	1	0	28	2196	0	1	0
1617	1	1	1	0	28	2196	0	1	0
1619	1	1	1	0	28	2196	0	1	0
1627	1	1	1	0	28	2196	0	1	0
1629	1	1	1	0	28	2196	0	1	0
1637	1	1	1	0	28	2196	0	1	0
