% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.03	1	1	4	1	1	0	85	0
0.031	1	1	4	2	1	0	85	0
0.032	1	1	4	3	1	0	85	0
0.033	1	1	4	4	1	0	85	0
0.034	1	1	4	5	1	0	85	0
0.035	1	1	4	6	1	0	85	0
0.036	1	1	4	7	1	0	85	0
0.037	1	1	4	8	1	28	2292	0
0.04	1	1	5	1	1	28	2292	0
0.041	1	1	5	2	1	28	2292	0
0.042	1	1	5	3	1	28	2292	0
0.043	1	1	5	4	1	28	2292	0
0.05	1	1	6	1	1	28	2292	0
0.052	1	1	6	3	1	28	2292	0
0.06	1	1	7	1	1	28	2292	0
0.062	1	1	7	3	1	28	2292	0
0.07	1	1	8	1	1	28	2292	0
0.072	1	1	8	3	1	28	2292	0
0.08	1	1	9	1	1	28	2292	0
0.082	1	1	9	3	1	28	2292	0
0.09	1	1	10	1	1	28	2292	0
0.092	1	1	10	3	1	28	2292	0
0.1	1	1	11	1	1	28	2292	0
0.102	1	1	11	3	1	28	2292	0
0.11	1	1	12	1	1	28	2292	0
0.112	1	1	12	3	1	28	2292	0
0.12	1	1	13	1	1	28	2292	0
0.122	1	1	13	3	1	28	2292	0
0.13	1	1	14	1	1	28	2292	0
0.132	1	1	14	3	1	28	2292	0
0.14	1	1	15	1	1	28	2292	0
0.142	1	1	15	3	1	28	2292	0
0.15	1	1	16	1	1	28	2292	0
0.152	1	1	16	3	1	28	2292	0
0.16	1	1	17	1	1	28	2292	0
0.162	1	1	17	3	1	28	2292	0
0.17	1	1	18	1	1	28	2292	0
0.172	1	1	18	3	1	28	2292	0
0.18	1	1	19	1	1	28	2292	0
0.182	1	1	19	3	1	28	2292	0
0.19	1	1	20	1	1	28	2292	0
0.192	1	1	20	3	1	28	2292	0
0.2	1	1	21	1	1	28	2292	0
0.202	1	1	21	3	1	28	2292	0
0.21	1	1	22	1	1	28	2292	0
0.212	1	1	22	3	1	28	2292	0
0.22	1	1	23	1	1	28	2292	0
0.222	1	1	23	3	1	28	2292	0
0.23	1	1	24	1	1	28	2292	0
0.232	1	1	24	3	1	28	2292	0
0.24	1	1	25	1	1	28	2292	0
0.242	1	1	25	3	1	28	2292	0
0.25	1	1	26	1	1	28	2292	0
0.252	1	1	26	3	1	28	2292	0
0.26	1	1	27	1	1	28	2292	0
0.262	1	1	27	3	1	28	2292	0
0.27	1	1	28	1	1	28	2292	0
0.272	1	1	28	3	1	28	2292	0
0.28	1	1	29	1	1	28	2292	0
0.282	1	1	29	3	1	28	2292	0
0.29	1	1	30	1	1	28	2292	0
0.292	1	1	30	3	1	28	2292	0
0.3	1	1	31	1	1	28	2292	0
0.302	1	1	31	3	1	28	2292	0
0.31	1	1	32	1	1	28	2292	0
0.312	1	1	32	3	1	28	2292	0
0.32	1	1	33	1	1	28	2292	0
0.322	1	1	33	3	1	28	2292	0
0.33	1	1	34	1	1	28	2292	0
0.332	1	1	34	3	1	28	2292	0
0.34	1	1	35	1	1	28	2292	0
0.342	1	1	35	3	1	28	2292	0
0.35	1	1	36	1	1	28	2292	0
0.352	1	1	36	3	1	28	2292	0
0.36	1	1	37	1	1	28	2292	0
0.362	1	1	37	3	1	28	2292	0
0.37	1	1	38	1	1	28	2292	0
0.372	1	1	38	3	1	28	2292	0
0.38	1	1	39	1	1	28	2292	0
0.382	1	1	39	3	1	28	2292	0
0.39	1	1	40	1	1	28	2292	0
0.392	1	1	40	3	1	28	2292	0
0.4	1	1	41	1	1	28	2292	0
0.402	1	1	41	3	1	28	2292	0
0.41	1	1	42	1	1	28	2292	0
0.412	1	1	42	3	1	28	2292	0
0.42	1	1	43	1	1	28	2292	0
0.422	1	1	43	3	1	28	2292	0
0.43	1	1	44	1	1	28	2292	0
0.432	1	1	44	3	1	28	2292	0
0.44	1	1	45	1	1	28	2292	0
0.442	1	1	45	3	1	28	2292	0
0.45	1	1	46	1	1	28	2292	0
0.452	1	1	46	3	1	28	2292	0
0.46	1	1	47	1	1	28	2292	0
0.462	1	1	47	3	1	28	2292	0
0.47	1	1	48	1	1	28	2292	0
0.472	1	1	48	3	1	28	2292	0
0.48	1	1	49	1	1	28	2292	0
0.482	1	1	49	3	1	28	2292	0
0.49	1	1	50	1	1	28	2292	0
0.492	1	1	50	3	1	28	2292	0
0.5	1	1	51	1	1	28	2292	0
0.502	1	1	51	3	1	28	2292	0
0.51	1	1	52	1	1	28	2292	0
0.512	1	1	52	3	1	28	2292	0
0.52	1	1	53	1	1	28	2292	0
0.522	1	1	53	3	1	28	2292	0
0.53	1	1	54	1	1	28	2292	0
0.532	1	1	54	3	1	28	2292	0
0.54	1	1	55	1	1	28	2292	0
0.542	1	1	55	3	1	28	2292	0
0.55	1	1	56	1	1	28	2292	0
0.552	1	1	56	3	1	28	2292	0
0.56	1	1	57	1	1	28	2292	0
0.562	1	1	57	3	1	28	2292	0
0.57	1	1	58	1	1	28	2292	0
0.572	1	1	58	3	1	28	2292	0
0.58	1	1	59	1	1	28	2292	0
0.582	1	1	59	3	1	28	2292	0
0.59	1	1	60	1	1	28	2292	0
0.592	1	1	60	3	1	28	2292	0
0.6	1	1	61	1	1	28	2292	0
0.602	1	1	61	3	1	28	2292	0
0.61	1	1	62	1	1	28	2292	0
0.612	1	1	62	3	1	28	2292	0
0.62	1	1	63	1	1	28	2292	0
0.622	1	1	63	3	1	28	2292	0
0.63	1	1	64	1	1	28	2292	0
0.632	1	1	64	3	1	28	2292	0
0.64	1	1	65	1	1	28	2292	0
0.642	1	1	65	3	1	28	2292	0
0.65	1	1	66	1	1	28	2292	0
0.652	1	1	66	3	1	28	2292	0
0.66	1	1	67	1	1	28	2292	0
0.662	1	1	67	3	1	28	2292	0
0.67	1	1	68	1	1	28	2292	0
0.672	1	1	68	3	1	28	2292	0
0.68	1	1	69	1	1	28	2292	0
0.682	1	1	69	3	1	28	2292	0
0.69	1	1	70	1	1	28	2292	0
0.692	1	1	70	3	1	28	2292	0
0.7	1	1	71	1	1	28	2292	0
0.702	1	1	71	3	1	28	2292	0
0.71	1	1	72	1	1	28	2292	0
0.712	1	1	72	3	1	28	2292	0
0.72	1	1	73	1	1	28	2292	0
0.722	1	1	73	3	1	28	2292	0
0.73	1	1	74	1	1	28	2292	0
0.732	1	1	74	3	1	28	2292	0
0.74	1	1	75	1	1	28	2292	0
0.742	1	1	75	3	1	28	2292	0
0.75	1	1	76	1	1	28	2292	0
0.752	1	1	76	3	1	28	2292	0
0.76	1	1	77	1	1	28	2292	0
0.762	1	1	77	3	1	28	2292	0
0.77	1	1	78	1	1	28	2292	0
0.772	1	1	78	3	1	28	2292	0
0.78	1	1	79	1	1	28	2292	0
0.782	1	1	79	3	1	28	2292	0
0.79	1	1	80	1	1	28	2292	0
0.792	1	1	80	3	1	28	2292	0
0.8	1	1	81	1	1	28	2292	0
0.802	1	1	81	3	1	28	2292	0
0.81	1	1	82	1	1	28	2292	0
0.812	1	1	82	3	1	28	2292	0
